CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21409,ANCASH,OCROS,SAN PEDRO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21015,ANCASH,HUARI,SAN PEDRO DE CHANA ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21808,ANCASH,SANTA,SANTA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21208,ANCASH,HUAYLAS,SANTA CRUZ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21510,ANCASH,PALLASCA,SANTA ROSA ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21410,ANCASH,OCROS,SANTIAGO DE CHILCAS ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21209,ANCASH,HUAYLAS,SANTO TORIBIO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
