CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
21506,ANCASH,PALLASCA,LACABAMBA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21705,ANCASH,RECUAY,LLACLLIN,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21507,ANCASH,PALLASCA,LLAPO,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21407,ANCASH,OCROS,LLIPA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21307,ANCASH,MARISCAL LUZURIAGA,LUCMA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21804,ANCASH,SANTA,MACATE,PECHM,DIST. NACIONAL,-,2,LIM - CHM,ALEJADO
21105,ANCASH,HUARMEY,MALVAS,PECHM,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
22003,ANCASH,YUNGAY,MANCOS,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20512,ANCASH,BOLOGNESI,MANGAS,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21706,ANCASH,RECUAY,MARCA,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20606,ANCASH,CARHUAZ,MARCARA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
21009,ANCASH,HUARI,MASIN,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
22004,ANCASH,YUNGAY,MATACOTO,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
21205,ANCASH,HUAYLAS,MATO,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20305,ANCASH,ANTONIO RAYMONDI,MIRGAS,PEANC,DIST. NACIONAL,-,3,LIM - HUU,ALEJADO
