CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
020111,ANCASH,HUARAZ,PIRA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021601,ANCASH,POMABAMBA,POMABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021011,ANCASH,HUARI,PONTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021907,ANCASH,SIHUAS,QUICHES,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
022005,ANCASH,YUNGAY,QUILLO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021604,ANCASH,POMABAMBA,QUINUABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021908,ANCASH,SIHUAS,RAGASH,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021012,ANCASH,HUARI,RAHUAPAMPA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
022006,ANCASH,YUNGAY,RANRAHIRCA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021013,ANCASH,HUARI,RAPAYAN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021701,ANCASH,RECUAY,RECUAY,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
021807,ANCASH,SANTA,SAMANCO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021909,ANCASH,SIHUAS,SAN JUAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021014,ANCASH,HUARI,SAN MARCOS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021409,ANCASH,OCROS,SAN PEDRO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021015,ANCASH,HUARI,SAN PEDRO DE CHANA ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021808,ANCASH,SANTA,SANTA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021208,ANCASH,HUAYLAS,SANTA CRUZ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021510,ANCASH,PALLASCA,SANTA ROSA ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021209,ANCASH,HUAYLAS,SANTO TORIBIO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
